Elapsed Time (min),Date,Voltage (V),R_therm (Ohms),Temp_SH (K),Temp_SH (째F),Temp_SH (째C),Temp_Beta (K),Temp_Beta (째F),Temp_Beta (째C)
0.0,09-18-2025 01:14:09,5.6679,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.02,09-18-2025 01:14:09,5.9977,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.04,09-18-2025 01:14:12,3.6426,26834.1,277.04,530.67,3.89,277.48,531.46,4.33
0.06,09-18-2025 01:14:12,2.9494,14382.8,290.06,554.11,16.91,290.19,554.34,17.04
0.09,09-18-2025 01:14:14,4.6597,136950.8,247.32,477.18,-25.83,248.97,480.14,-24.18
0.1,09-18-2025 01:14:14,5.2524,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.13,09-18-2025 01:14:17,0.0079,15.8,562.81,1045.06,289.66,581.19,1078.14,308.04
0.15,09-18-2025 01:14:17,4.4947,88960.9,254.65,490.37,-18.5,255.93,492.67,-17.22
0.17,09-18-2025 01:14:20,2.0631,7024.5,306.4,583.51,33.25,306.32,583.37,33.17
0.19,09-18-2025 01:14:20,5.643,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.22,09-18-2025 01:14:22,3.3107,19597.8,283.47,542.25,10.32,283.74,542.73,10.59
0.23,09-18-2025 01:14:22,2.607,10894.3,296.21,565.17,23.06,296.23,565.22,23.08
0.26,09-18-2025 01:14:25,5.4654,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.28,09-18-2025 01:14:25,2.6606,11373.2,295.24,563.43,22.09,295.28,563.51,22.13
0.3,09-18-2025 01:14:27,1.7543,5404.8,312.78,595.0,39.63,312.67,594.81,39.52
0.32,09-18-2025 01:14:27,1.6125,4760.1,315.96,600.73,42.81,315.85,600.52,42.7
0.34,09-18-2025 01:14:30,5.4225,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.36,09-18-2025 01:14:30,5.4664,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.39,09-18-2025 01:14:33,1.5611,4539.6,317.16,602.89,44.01,317.05,602.69,43.9
0.4,09-18-2025 01:14:33,6.0726,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.43,09-18-2025 01:14:35,5.3518,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.45,09-18-2025 01:14:35,3.0398,15507.0,288.43,551.18,15.28,288.59,551.47,15.44
0.47,09-18-2025 01:14:38,5.0747,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.49,09-18-2025 01:14:38,5.8658,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.52,09-18-2025 01:14:40,5.1405,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.53,09-18-2025 01:14:40,1.6164,4777.3,315.87,600.56,42.72,315.76,600.36,42.61
0.56,09-18-2025 01:14:43,4.3965,72850.0,258.16,496.7,-14.99,259.29,498.71,-13.86
0.58,09-18-2025 01:14:43,2.3379,8782.4,301.14,574.04,27.99,301.1,573.98,27.95
0.6,09-18-2025 01:14:45,2.6014,10845.3,296.31,565.36,23.16,296.33,565.4,23.18
0.62,09-18-2025 01:14:45,5.5307,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.65,09-18-2025 01:14:48,3.5978,25657.0,277.94,532.3,4.79,278.35,533.04,5.2
0.66,09-18-2025 01:14:48,5.6721,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.69,09-18-2025 01:14:51,4.6691,141114.5,246.83,476.29,-26.32,248.5,479.3,-24.65
0.7,09-18-2025 01:14:51,5.3829,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.73,09-18-2025 01:14:53,3.2243,18157.1,285.07,545.13,11.92,285.3,545.55,12.15
0.75,09-18-2025 01:14:53,3.3928,21110.2,281.93,539.47,8.78,282.23,540.02,9.08
0.78,09-18-2025 01:14:56,2.2513,8190.5,302.76,576.97,29.61,302.71,576.88,29.56
0.8,09-18-2025 01:14:56,3.6113,26003.6,277.67,531.81,4.52,278.09,532.56,4.94
0.82,09-18-2025 01:14:59,1.1542,3001.4,328.0,622.41,54.85,327.94,622.29,54.79
0.84,09-18-2025 01:14:59,1.9901,6612.0,307.85,586.13,34.7,307.76,585.97,34.61
0.86,09-18-2025 01:15:01,0.2694,569.6,379.21,714.58,106.06,380.43,716.78,107.28
0.88,09-18-2025 01:15:01,4.3093,62391.6,260.95,501.71,-12.2,261.95,503.51,-11.2
0.91,09-18-2025 01:15:04,5.7163,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.92,09-18-2025 01:15:04,5.6987,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
0.95,09-18-2025 01:15:06,4.5818,109545.7,251.07,483.93,-22.08,252.52,486.54,-20.63
0.97,09-18-2025 01:15:06,2.1842,7756.9,304.04,579.27,30.89,303.98,579.16,30.83
0.99,09-18-2025 01:15:09,5.2449,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.01,09-18-2025 01:15:09,3.3375,20075.2,282.97,541.35,9.82,283.25,541.85,10.1
1.04,09-18-2025 01:15:12,3.0231,15291.6,288.74,551.72,15.59,288.89,552.0,15.74
1.05,09-18-2025 01:15:12,0.2441,513.3,382.91,721.23,109.76,384.28,723.71,111.13
1.08,09-18-2025 01:15:14,1.0682,2716.8,330.71,627.28,57.56,330.68,627.22,57.53
1.1,09-18-2025 01:15:14,3.0795,16034.9,287.72,549.89,14.57,287.89,550.2,14.74
1.12,09-18-2025 01:15:17,3.4761,22809.7,280.33,536.6,7.18,280.68,537.22,7.53
1.14,09-18-2025 01:15:17,0.8779,2129.7,337.51,639.52,64.36,337.56,639.6,64.41
1.17,09-18-2025 01:15:19,2.0966,7221.3,305.74,582.33,32.59,305.66,582.19,32.51
1.18,09-18-2025 01:15:19,1.3039,3527.7,323.69,614.65,50.54,323.6,614.48,50.45
1.21,09-18-2025 01:15:22,5.6372,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.23,09-18-2025 01:15:22,4.3176,63266.8,260.7,501.25,-12.45,261.71,503.07,-11.44
1.25,09-18-2025 01:15:25,5.6216,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.27,09-18-2025 01:15:25,6.117,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.3,09-18-2025 01:15:28,3.4552,22367.7,280.74,537.32,7.59,281.07,537.93,7.92
1.32,09-18-2025 01:15:28,3.9319,36811.0,270.82,519.47,-2.33,271.45,520.61,-1.7
1.35,09-18-2025 01:15:30,2.4952,9962.1,298.24,568.83,25.09,298.24,568.82,25.09
1.36,09-18-2025 01:15:30,5.9379,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.39,09-18-2025 01:15:33,1.1269,2909.5,328.84,623.92,55.69,328.79,623.82,55.64
1.41,09-18-2025 01:15:33,2.3197,8655.0,301.47,574.65,28.32,301.44,574.59,28.29
1.43,09-18-2025 01:15:35,3.8004,31681.9,273.74,524.73,0.59,274.28,525.7,1.13
1.45,09-18-2025 01:15:35,0.2927,621.8,376.15,709.07,103.0,377.25,711.04,104.1
1.48,09-18-2025 01:15:38,4.1173,46645.2,266.31,511.36,-6.84,267.1,512.78,-6.05
1.49,09-18-2025 01:15:38,5.8427,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.52,09-18-2025 01:15:41,1.8879,6066.5,309.94,589.89,36.79,309.84,589.71,36.69
1.54,09-18-2025 01:15:41,1.8379,5812.2,310.99,591.78,37.84,310.88,591.59,37.73
1.56,09-18-2025 01:15:43,3.3028,19460.5,283.62,542.51,10.47,283.88,542.99,10.73
1.58,09-18-2025 01:15:43,1.6447,4902.0,315.22,599.39,42.07,315.11,599.19,41.96
1.61,09-18-2025 01:15:46,4.1897,51704.6,264.39,507.91,-8.76,265.26,509.46,-7.89
1.62,09-18-2025 01:15:46,1.3721,3782.2,321.86,611.36,48.71,321.76,611.18,48.61
1.65,09-18-2025 01:15:48,2.3511,8875.5,300.89,573.6,27.74,300.86,573.55,27.71
1.67,09-18-2025 01:15:48,2.5502,10409.7,297.24,567.03,24.09,297.25,567.05,24.1
1.69,09-18-2025 01:15:51,5.4774,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.71,09-18-2025 01:15:51,0.4198,916.6,363.13,685.63,89.98,363.76,686.78,90.61
1.74,09-18-2025 01:15:54,6.1421,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.75,09-18-2025 01:15:54,3.9739,38727.0,269.84,517.71,-3.31,270.51,518.91,-2.64
1.78,09-18-2025 01:15:56,5.2794,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.8,09-18-2025 01:15:56,4.548,100619.5,252.52,486.54,-20.63,253.9,489.03,-19.25
1.84,09-18-2025 01:15:59,0.1892,393.3,392.68,738.82,119.53,394.51,742.11,121.36
1.85,09-18-2025 01:15:59,2.2569,8227.8,302.66,576.78,29.51,302.61,576.69,29.46
1.88,09-18-2025 01:16:02,5.4144,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.9,09-18-2025 01:16:02,5.8466,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
1.92,09-18-2025 01:16:05,1.2015,3163.1,326.59,619.86,53.44,326.52,619.73,53.37
1.94,09-18-2025 01:16:05,3.7408,29708.1,275.01,527.02,1.86,275.51,527.91,2.36
1.97,09-18-2025 01:16:07,2.6749,11504.2,294.99,562.97,21.84,295.03,563.05,21.88
1.98,09-18-2025 01:16:07,0.6193,1413.7,349.53,661.16,76.38,349.8,661.65,76.65
2.01,09-18-2025 01:16:10,0.567,1279.0,352.59,666.66,79.44,352.93,667.28,79.78
2.03,09-18-2025 01:16:10,0.6697,1546.7,346.83,656.29,73.68,347.04,656.68,73.89
2.06,09-18-2025 01:16:13,4.8039,245020.7,237.98,460.37,-35.17,240.16,464.29,-32.99
2.07,09-18-2025 01:16:13,4.4734,84944.2,255.45,491.82,-17.7,256.7,494.06,-16.45
2.1,09-18-2025 01:16:16,2.5387,10314.9,297.44,567.4,24.29,297.45,567.42,24.3
2.12,09-18-2025 01:16:16,4.2619,57739.2,262.36,504.25,-10.79,263.3,505.95,-9.85
2.15,09-18-2025 01:16:18,4.4378,78928.4,256.74,494.14,-16.41,257.93,496.27,-15.22
2.16,09-18-2025 01:16:18,5.0554,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
2.19,09-18-2025 01:16:21,2.3786,9074.0,300.38,572.68,27.23,300.35,572.64,27.2
2.21,09-18-2025 01:16:21,0.5102,1136.3,356.27,673.28,83.12,356.7,674.07,83.55
2.23,09-18-2025 01:16:23,1.3191,3583.5,323.28,613.9,50.13,323.18,613.73,50.03
2.25,09-18-2025 01:16:23,3.5261,23924.2,279.36,534.85,6.21,279.73,535.52,6.58
2.28,09-18-2025 01:16:26,4.9689,1599657.9,211.45,412.61,-61.7,215.57,420.03,-57.58
2.3,09-18-2025 01:16:26,4.875,390000.0,230.93,447.67,-42.22,233.56,452.41,-39.59
2.32,09-18-2025 01:16:29,2.8442,13193.1,291.95,557.51,18.8,292.04,557.67,18.89
2.34,09-18-2025 01:16:29,4.3522,67190.3,259.61,499.3,-13.54,260.67,501.2,-12.48
2.38,09-18-2025 01:16:32,2.7362,12086.6,293.88,560.99,20.73,293.95,561.1,20.8
2.39,09-18-2025 01:16:32,1.2941,3492.1,323.96,615.13,50.81,323.87,614.96,50.72
2.42,09-18-2025 01:16:35,2.1546,7572.0,304.61,580.3,31.46,304.54,580.18,31.39
2.44,09-18-2025 01:16:35,0.1086,221.9,415.31,779.57,142.16,418.41,785.14,145.26
2.47,09-18-2025 01:16:37,4.0828,44514.5,267.19,512.94,-5.96,267.95,514.31,-5.2
2.48,09-18-2025 01:16:37,2.6263,11064.3,295.86,564.55,22.71,295.89,564.6,22.74
2.51,09-18-2025 01:16:40,2.7816,12538.4,293.07,559.53,19.92,293.14,559.66,19.99
2.53,09-18-2025 01:16:40,0.8019,1910.3,340.63,645.13,67.48,340.72,645.3,67.57
2.55,09-18-2025 01:16:42,3.1864,17569.1,285.77,546.39,12.62,285.98,546.77,12.83
2.57,09-18-2025 01:16:42,2.7624,12345.7,293.41,560.14,20.26,293.48,560.27,20.33
2.6,09-18-2025 01:16:45,4.896,470769.2,228.17,442.7,-44.98,230.99,447.79,-42.16
2.61,09-18-2025 01:16:45,5.9501,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
2.64,09-18-2025 01:16:48,1.083,2764.9,330.23,626.42,57.08,330.19,626.34,57.04
2.66,09-18-2025 01:16:48,4.0436,42280.7,268.17,514.7,-4.98,268.89,516.0,-4.26
2.68,09-18-2025 01:16:50,2.1707,7672.1,304.3,579.74,31.15,304.24,579.62,31.09
2.7,09-18-2025 01:16:50,0.0977,199.3,419.86,787.74,146.71,423.24,793.84,150.09
2.73,09-18-2025 01:16:53,0.4667,1029.5,359.39,678.9,86.24,359.91,679.85,86.76
2.74,09-18-2025 01:16:53,1.6648,4991.7,314.76,598.58,41.61,314.65,598.37,41.5
2.77,09-18-2025 01:16:56,0.8768,2126.4,337.55,639.6,64.4,337.6,639.68,64.45
2.79,09-18-2025 01:16:56,3.6994,28443.1,275.88,528.58,2.73,276.35,529.42,3.2
2.81,09-18-2025 01:16:58,5.211,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
2.83,09-18-2025 01:16:58,4.3838,71135.9,258.59,497.46,-14.56,259.69,499.44,-13.46
2.86,09-18-2025 01:17:01,2.1874,7777.0,303.98,579.16,30.83,303.92,579.05,30.77
2.87,09-18-2025 01:17:01,4.9517,1024928.8,217.3,423.14,-55.85,220.94,429.69,-52.21
2.9,09-18-2025 01:17:03,3.7033,28559.8,275.79,528.43,2.64,276.27,529.28,3.12
2.92,09-18-2025 01:17:03,4.2787,59324.1,261.86,503.36,-11.29,262.83,505.09,-10.32
2.96,09-18-2025 01:17:07,2.3603,8941.2,300.72,573.3,27.57,300.69,573.24,27.54
2.98,09-18-2025 01:17:07,1.1136,2865.3,329.26,624.67,56.11,329.21,624.58,56.06
3.0,09-18-2025 01:17:10,2.1733,7688.5,304.25,579.65,31.1,304.19,579.53,31.04
3.02,09-18-2025 01:17:10,5.4906,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.05,09-18-2025 01:17:12,2.664,11404.1,295.18,563.33,22.03,295.22,563.4,22.07
3.06,09-18-2025 01:17:12,6.1283,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.09,09-18-2025 01:17:15,4.5703,106363.6,251.57,484.83,-21.58,253.0,487.4,-20.15
3.11,09-18-2025 01:17:15,0.7489,1761.6,342.98,649.37,69.83,343.12,649.62,69.97
3.13,09-18-2025 01:17:17,0.3034,645.9,374.83,706.7,101.68,375.88,708.58,102.73
3.15,09-18-2025 01:17:17,5.847,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.18,09-18-2025 01:17:20,3.4755,22797.6,280.34,536.62,7.19,280.69,537.24,7.54
3.19,09-18-2025 01:17:20,3.8837,34790.3,271.91,521.44,-1.24,272.51,522.51,-0.64
3.22,09-18-2025 01:17:23,4.4239,76786.7,257.23,495.02,-15.92,258.39,497.11,-14.76
3.24,09-18-2025 01:17:23,3.9487,37562.4,270.43,518.77,-2.72,271.07,519.93,-2.08
3.27,09-18-2025 01:17:25,5.922,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.28,09-18-2025 01:17:25,5.7028,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.31,09-18-2025 01:17:28,1.0721,2729.5,330.59,627.05,57.44,330.55,626.98,57.4
3.33,09-18-2025 01:17:28,4.1829,51194.8,264.58,508.24,-8.57,265.43,509.78,-7.72
3.35,09-18-2025 01:17:31,0.6716,1551.7,346.73,656.12,73.58,346.94,656.5,73.79
3.37,09-18-2025 01:17:31,5.6612,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.4,09-18-2025 01:17:33,2.6891,11636.8,294.73,562.51,21.58,294.78,562.6,21.63
3.41,09-18-2025 01:17:33,2.3872,9136.9,300.22,572.4,27.07,300.2,572.35,27.05
3.44,09-18-2025 01:17:36,3.2563,18674.9,284.48,544.07,11.33,284.73,544.51,11.58
3.46,09-18-2025 01:17:36,5.0113,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.49,09-18-2025 01:17:38,1.0292,2591.9,332.01,629.61,58.86,331.98,629.57,58.83
3.5,09-18-2025 01:17:38,2.8393,13140.8,292.04,557.66,18.89,292.13,557.83,18.98
3.53,09-18-2025 01:17:41,5.3662,inf,0.0,32.0,-273.15,0.0,32.0,-273.15
3.55,09-18-2025 01:17:41,0.8777,2129.1,337.52,639.53,64.37,337.56,639.62,64.41
3.57,09-18-2025 01:17:44,0.1146,234.5,413.03,775.46,139.88,415.99,780.78,142.84
3.59,09-18-2025 01:17:44,3.0427,15546.0,288.38,551.08,15.23,288.54,551.37,15.39
3.62,09-18-2025 01:17:46,1.4694,4162.0,319.38,606.89,46.23,319.27,606.69,46.12
3.63,09-18-2025 01:17:46,0.6784,1569.7,346.39,655.5,73.24,346.59,655.87,73.44
3.66,09-18-2025 01:17:49,4.7841,221548.5,239.56,463.21,-33.59,241.64,466.96,-31.51
3.68,09-18-2025 01:17:49,4.9341,748293.8,221.59,430.87,-51.56,224.9,436.82,-48.25
3.71,09-18-2025 01:17:52,2.9994,14993.0,289.16,552.49,16.01,289.31,552.75,16.16
3.72,09-18-2025 01:17:52,2.1084,7291.7,305.51,581.91,32.36,305.43,581.78,32.28
